Common name, Scientific name,Extinction date,Decades,Range,Continent,Category
Hawaiʻi ʻōʻō,Moho nobilis,1934,1930s,Hawaii/the Big Island,Oceania,Birds
Desert rat-kangaroo,Caloprymnus campestris,1935,1930s,"Qld, SA, NT",Oceania,Mammals
Central hare-wallaby,Lagorchestes asomatus,1935,1930s,NT,Oceania,Mammals
"Thylacine, Tasmanian wolf, Tasmanian tiger",Thylacinus cynocephalus,1936,1930s,Tasmania,Oceania,Mammals
Nuku Hiva monarch,Pomarea nukuhivae,1930s,1930s,"France (Nuku Hiva, French Polynesia)",Oceania,Birds
New Zealand grayling,Prototroctes oxyrhynchus,1930s,1930s,New Zealand,Oceania,Fish
Vanikoro flying fox,Pteropus tuberculatus,Before 1930,1930s,"Vanikoro, Solomon Islands",Oceania,Mammals
Hawaiʻi ʻakialoa,Hemignathus obscurus,1940,1940s,Hawaii/the Big Island,Oceania,Birds
Emma's giant rat,Uromys emmae,1944,1940s,"Papua, Indonesia",Oceania,Mammals
Laysan rail,Porzana palmeri,1944,1940s,Laysan,Oceania,Birds
Wake Island rail,Gallirallus wakensis,1945,1940s,United States (Wake Island),Oceania,Birds
Makira woodhen,Gallinula silvestris,1953,1950s,Solomon Islands,Oceania,Birds
Narrow-bodied skink,Oligosoma gracilicorpus,1955,1950s,New Zealand (North Island),Oceania,Reptiles
North Island piopio,Turnagra tanagra,1955,1950s,New Zealand,Oceania,Birds
Crescent nailtail wallaby,Onychogalea lunata,1956,1950s,"SA, WA",Oceania,Mammals
Blue-grey mouse,Pseudomys glaucus,1956,1950s,"NSW, Qld",Oceania,Mammals
"Morepork (Lord Howe Island), Lord Howe boobook, Lowe Howe morepork",Ninox novaeseelandiae albaria,1950s,1950s,Lord Howe Island,Oceania,Birds
Pig-footed bandicoot,Chaeropus ecaudatus,1950s,1950s,"NSW, NT, SA, VIC, WA",Oceania,Mammals
South Island piopio,Turnagra capensis,1963,1960s,New Zealand,Oceania,Birds
Molokaʻi creeper,Paroreomyza flammea,1963,1960s,Molokaʻi,Oceania,Birds
Greater short-tailed bat,Mystacina robusta,1965,1960s,New Zealand,Oceania,Mammals
Kauaʻi ʻakialoa,Hemignathus ellisianus stejnegeri,1965,1960s,Kauaʻi,Oceania,Birds
Guam flying fox,Pteropus tokudae,1967,1960s,United States (Guam),Oceania,Mammals
Victorian grassland earless dragon,Tympanocryptis pinguicolla,1969,1960s,VIC,Oceania,Reptiles
Emperor rat,Uromys imperator,1960s,1960s,Solomon Islands,Oceania,Mammals
South Island snipe,Coenocorypha iredalei,1960s,1960s,New Zealand,Oceania,Birds
Desert bandicoot,Perameles eremiana,Before 1960,1960s,"NT, SA, WA",Oceania,Mammals
Bush wren,Xenicus longipes,1972,1970s,New Zealand,Oceania,Birds
Bar-winged rail,Nesoclopeus poecilopterus,1973,1970s,Fiji,Oceania,Birds
Mariana mallard,Anas oustaleti,1974,1970s,United States (Northern Mariana Islands),Oceania,Birds
Eiao monarch,Pomarea fluxa,1977,1970s,France (French Polynesia),Oceania,Birds
"Mt. Glorious day frog, Mt. Glorious torrent frog, southern day frog",Taudactylus diurnus,1979,1970s,Qld,Oceania,Amphibians
Olomaʻo,Myadestes lanaiensis,1980,1980s,O‘ahu,Oceania,Birds
Gastric-brooding frog,Rheobatrachus silus,1981,1980s,Qld,Oceania,Amphibians
Guam flycatcher,Myiagra freycineti,1983,1980s,United States (Guam),Oceania,Birds
Ua Pou monarch,Pomarea mira,1985,1980s,"France (Ua Pou, French Polynesia)",Oceania,Birds
Eungella gastric-brooding frog,Rheobatrachus vitellinus,1985,1980s,Qld,Oceania,Amphibians
Oʻahu ʻalauahio,Paroreomyza maculata,1985,1980s,O‘ahu,Oceania,Birds
Kauaʻi ʻōʻō,Moho braccatus,1987,1980s,Kauaʻi,Oceania,Birds
ʻŌʻū,Psittirostra psittacea,1987,1980s,the Hawaiian Islands,Oceania,Birds
Maui ʻakepa,Loxops coccineus ochraceus,1988,1980s,M'aui,Oceania,Birds
Kāmaʻo,Myadestes myadestinus,1989,1980s,Kauaʻi,Oceania,Birds
Pohnpei starling,Aplonis pelzelni,1995,1990s,"Pohnpei, Micronesia",Oceania,Birds
"Morepork (Norfolk Island), Norfolk boobook, Norfolk Island boobook, Norfolk Island morepork",Ninox novaeseelandiae undulata,1996,1990s,Norfolk Island,Oceania,Birds
"Sharp-snouted day frog, sharp-snouted torrent frog",Taudactylus acutirostris,1997,1990s,Qld,Oceania,Amphibians
Telefomin cuscus,Phalanger matanim,1998,1990s,Papua New Guinea,Oceania,Mammals
Nukupu‘u,Hemignathus lucidus,1998,1990s,"Kaua'I, Maui and O'ahu",Oceania,Birds
Poʻouli,Melamprosops phaeosoma,2004,2000s,Maui,Oceania,Birds
Christmas Island pipistrelle,Pipistrellus murrayi,2009,2000s,Christmas Island,Oceania,Mammals
Christmas Island forest skink,Emoia nativitatis,2014,2010s,Christmas Island,Oceania,Reptiles
Bramble Cay melomys,Melomys rubicola,2016,2010s,"Bramble Cay, QLD",Oceania,Mammals
Meiolania,Meiolania sp.,400s,400s,"Australia, Lord Howe Island, New Caledonia and Vanuatu",Oceania,Reptiles
New Caledonian giant scrubfowl,Sylviornis neocaledoniae,1500 BC,BC,France (New Caledonia),Oceania,Birds
Mekosuchus,Mekosuchus sp.,1000 BC,BC,France (New Caledonia) and Vanuatu,Oceania,Reptiles
Volia,Volia athollandersoni,~1000 BC,BC,Fiji,Oceania,Reptiles
Lapitiguana,Lapitiguana impensa,~1000 BC,BC,Fiji,Oceania,Reptiles
Brachylophus gibbonsi,Brachylophus gibbonsi,~700 BC,BC,Tonga,Oceania,Reptiles
Chatham raven,Corvus moriorum,8000 BC,BC,New Zealand,Oceania,Birds
Northland skink,Oligosoma northlandi,Late Holocene,Late Holocene,New Zealand,Oceania,Reptiles
Consumed scrubfowl,Megapodius alimentum,Unknown,Unknown,Fiji and Tonga,Oceania,Birds
New Caledonian gallinule,Porphyrio kukwiedei,Unknown,Unknown,France (New Caledonia),Oceania,Birds
Noble megapode,Megavitiornis altirostris,Unknown,Unknown,Fiji,Oceania,Birds
Pile-builder megapode,Megapodius molistructor,Unknown,Unknown,France (New Caledonia) and Tonga,Oceania,Birds
Viti Levu scrubfowl,Megapodius amissus,Unknown,Unknown,Fiji,Oceania,Birds
"Western rufous bristlebird, rufous bristlebird (western), southwestern rufous bristlebird, lesser rufous bristebird",Dasyornis broadbenti litoralis,Unknown,Unknown,WA,Oceania,Birds
New Zealand pigeon (Norfolk Island subspecies),Hemiphaga novaeseelandiae spadicea,Unknown,Unknown,Norfolk Island,Oceania,Birds
Norfolk Island long-tailed triller,Lalage leucopyga leucopyga,Unknown,Unknown,Norfolk Island,Oceania,Birds
White gallinule,Porphyrio albus,Unknown,Unknown,Lord Howe Island,Oceania,Birds
Macquarie Island rail,Gallirallus philippensis macquariensis,Unknown,Unknown,Macquarie Island,Oceania,Birds
"Norfolk Island thrush, grey-headed blackbird",Turdus poliocephalus poliocephalus,Unknown,Unknown,Norfolk Island,Oceania,Birds
"White-chested white-eye, Norfolk Island silvereye",Zosterops albogularis,Unknown,Unknown,Norfolk Island,Oceania,Birds
Brush-tailed bettong (southeastern mainland),Bettongia penicillata penicillata,Unknown,Unknown,"NSW, NT, SA, VIC, WA",Oceania,Mammals
Rufous hare-wallaby (southwestern mainland),Lagorchestes hirsutus hirsutus,Unknown,Unknown,"NT, SA, WA",Oceania,Mammals
Banded hare-wallaby (mainland),Lagostrophus fasciatus albipilis,Unknown,Unknown,WA,Oceania,Mammals
Tammar wallaby (South Australia),Macropus eugenii eugenii,Unknown,Unknown,SA,Oceania,Mammals
Western barred bandicoot (mainland),Perameles bougainville fasciata,Unknown,Unknown,"NSW, VIC",Oceania,Mammals
Vespucci's rodent,Noronhomys vespuccii,1503?,1500s,Brazil,South America,Mammals
Hooded seedeater,Sporophila melanops,1823,1820s,Brazil,South America,Birds
Red-throated wood-rail,Aramides gutturalis,1843,1840s,Peru,South America,Birds
Turquoise-throated puffleg,Eriocnemis godini,1850,1850s,Colombia and Ecuador,South America,Birds
Charles Island tortoise,Chelonoidis nigra,1850,1850s,Ecuador (the Galápagos Islands),South America,Reptiles
Letitia's thorntail,Discosura letitiae,1852,1850s,Bolivia,South America,Birds
Falkland Islands wolf,Dusicyon australis,1876,1870s,the United Kingdom (the Falkland Islands),South America,Mammals
One-striped opossum,Monodelphis unistriata,1899,1890s,Argentina and Brazil,South America,Mammals
Alejandro Selkirk Island firecrown,Sephanoides fernandensis leyboldi,1908,1900s,Chile,South America,Birds
Peruvian viscacha,Lagostomus crassus,Before 1910,1910s,Peru,South America,Mammals
Darwin's Galápagos mouse,Nesoryzomys darwini,1929,1920s,Ecuador (the Galápagos Islands),South America,Mammals
Spiny-knee leaf frog,Phrynomedusa fimbriata,1920s,1920s,Brazil,South America,Amphibians
Atelopus vogli,,1933,1930s,Venezuela,South America,Amphibians
Eskimo curlew,Numenius borealis,1939,1930s,"Brazil, Argentina, Perú and Chile",South America,Birds
Indefatigable Galápagos mouse,Nesoryzomys indefessus,1930s,1930s,Ecuador (the Galápagos Islands),South America,Mammals
Titicaca orestias,Orestias cuvieri,1930s,1930s,"Lake Titicaca, Bolivia and Peru",South America,Fish
Zuniga's dark rice rat,Melanomys zunigae,1942,1940s,Peru,South America,Mammals
Caribbean monk seal,Monachus tropicalis,1952,1950s,the Caribbean Sea,South America,Mammals
Niceforo's pintail,Anas georgica niceforoi,1952,1950s,Colombia,South America,Birds
Darwin's ground finch,Geospiza magnirostris magnirostris,1957,1950s,Ecuador (the Galápagos Islands),South America,Birds
Candango mouse,Juscelinomys candango,1960,1960s,Brazil,South America,Mammals
Red-bellied gracile opossum,Cryptonanus ignitus,1962,1960s,Argentina,South America,Mammals
Glaucous macaw,Anodorhynchus glaucus,1960s,1960s,"Argentina, Brazil, Paraguay and Uruguay",South America,Birds
Colombian grebe,Podiceps andinus,1970,1970s,Colombia,South America,Birds
Chile Darwin's frog,Rhinoderma rufum,1980,1980s,Chile,South America,Amphibians
San Cristóbal vermilion flycatcher,Pyrocephalus rubinus dubius,1980s,1980s,Ecuador (the Galápagos Islands),South America,Birds
Pacific degu,Octodon pacificus,1994,1990s,"Mocha Island, Chile",South America,Mammals
Pinta Island tortoise,Chelonoidis abingdonii,2012,2010s,Ecuador (the Galápagos Islands),South America,Reptiles
Antifer,Antifer crassus,11000 BC,BC,"Argentina, Brazil and Chile",South America,Mammals
Arctotherium,Arctotherium sp.,11000 BC,BC,South America,South America,Mammals
Canis nehringi,,8000 BC,BC,South America,South America,Mammals
Cuvieronius,Cuvieronius sp.,4000 BC,BC,South America,South America,Mammals
Dire wolf,Canis dirus,11000 BC,BC,South America,South America,Mammals
Ground sloths,,6000 BC,BC,South America,South America,Mammals
Glyptodonts,,11000 BC,BC,South America,South America,Mammals
Hippidion,,10000 BC,BC,South America,South America,Mammals
Macrauchenia,Macrauchenia sp.,10000 BC,BC,South America,South America,Mammals
Neochoerus,Neochoerus sp.,10000 BC,BC,South America,South America,Mammals
Notiomastodon,Notiomastodon pLatensis,10000 BC,BC,South America,South America,Mammals
Saber-toothed cat,Smilodon populator,10000 BC,BC,northern South America,South America,Mammals
Stegomastodon,Stegomastodon sp.,10000 BC,BC,South America,South America,Mammals
Stout-legged llama,Palaeolama mirifica,10000 BC,BC,South America,South America,Mammals
Theriodictis,Theriodictis sp.,11000 BC,BC,"Bolivia, Brazil and Paraguay",South America,Mammals
Toxodon,Toxodon sp.,16500 BC,BC,South America,South America,Mammals
Xenorhinotherium,Xenorhinotherium bahiensis,10000 BC,BC,Brazil and Venezuela,South America,Mammals
Galápagos giant rat,Megaoryzomys curioi,Unknown,Unknown,Ecuador (the Galápagos Islands),South America,Mammals
Giant vampire bat,Desmodus draculae,Unknown,Unknown,"Bolivia, Brazil and Venezuela",South America,Mammals
Greasefish,Rhizosomichthys totae,Unknown,Unknown,Colombia,South America,Fish
